日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2020/03/02,19464670,820634945,41.4,42.6,41.4,42.25,0.0,6713
2020/03/03,14474150,618431178,42.6,42.9,42.5,42.65,0.4,4446
2020/03/04,9537433,408263824,42.6,42.95,42.6,42.85,0.2,3002
2020/03/05,10483070,451950451,42.9,43.3,42.85,43.3,0.45,4048
2020/03/06,13206384,566064257,43.2,43.2,42.5,42.85,-0.45,4208
2020/03/09,21445731,901372833,42.2,42.4,41.7,41.85,-1.0,7179
2020/03/10,18373010,763447320,41.2,41.9,41.2,41.6,-0.25,6656
2020/03/11,15028516,630516266,42.0,42.25,41.7,41.8,0.2,5633
2020/03/12,29637367,1215770160,41.7,41.8,40.4,40.75,-1.05,10800
2020/03/13,42284434,1653643838,39.0,40.55,38.3,40.25,-0.5,14369
2020/03/16,20548943,811674382,40.25,40.25,38.85,38.85,-1.4,7705
2020/03/17,43649794,1649530268,38.0,38.2,37.45,37.6,-1.25,13944
2020/03/18,36467777,1343606922,37.3,37.5,36.0,36.0,-1.6,15058
2020/03/19,36658794,1251104218,34.9,34.9,33.35,33.6,-2.4,16611
2020/03/20,32820319,1184241762,34.15,36.95,34.15,36.95,3.35,11214
2020/03/23,30694697,1107450069,35.8,36.95,34.5,36.1,-0.85,8200
2020/03/24,23929371,915895081,38.3,38.7,37.8,38.25,2.15,9572
2020/03/25,17956597,701750294,39.05,39.5,38.7,38.8,0.55,7400
2020/03/26,17364088,676632258,39.5,39.5,38.55,38.6,-0.2,5675
2020/03/27,14154796,553157694,39.3,39.45,38.8,38.95,0.35,4980
2020/03/30,11479147,445447560,38.25,39.2,38.0,39.15,0.2,4593
2020/03/31,17002298,668791722,39.25,39.5,39.0,39.5,0.35,5348
